onset_time,offset_time,duration,midi_note,note_name,velocity,onset_prob,offset_prob,decode_source
1.232,1.632,0.4,72,C5,38,0.8847,0.1001,primary_onset
1.264,1.616,0.352,70,A#4,30,0.8358,0.0933,primary_onset
1.28,1.712,0.432,48,C3,26,0.8744,0.1283,primary_onset
2.16,2.56,0.4,72,C5,46,0.9162,0.1143,primary_onset
2.208,2.528,0.32,70,A#4,30,0.7536,0.1514,primary_onset
2.224,2.464,0.24,48,C3,22,0.8858,0.3864,primary_onset
2.928,2.976,0.048,72,C5,53,0.8886,0.4571,primary_onset
2.944,3.008,0.064,48,C3,32,0.901,0.7988,primary_onset
2.96,3.024,0.064,55,G3,20,0.757,0.5057,primary_onset
3.152,3.904,0.752,73,C#5,52,0.8853,0.3033,primary_onset
3.184,3.536,0.352,56,G#3,29,0.8942,0.3507,primary_onset
3.2,3.52,0.32,48,C3,27,0.8021,0.3585,primary_onset
3.92,4.576,0.656,72,C5,53,0.8549,0.3804,primary_onset
4.112,4.96,0.848,77,F5,64,0.8758,0.3642,primary_onset
4.16,4.624,0.464,68,G#4,40,0.8768,0.3858,primary_onset
4.192,4.64,0.448,60,C4,33,0.8825,0.4144,primary_onset
4.192,4.656,0.464,65,F4,29,0.8736,0.3528,primary_onset
4.928,5.2,0.272,80,G#5,78,0.8848,0.4348,primary_onset
4.944,5.024,0.08,60,C4,47,0.889,0.5706,primary_onset
4.944,5.008,0.064,68,G#4,53,0.8838,0.5226,primary_onset
4.96,5.024,0.064,65,F4,41,0.7938,0.5078,primary_onset
4.96,5.008,0.048,72,C5,48,0.8402,0.5743,primary_onset
5.136,7.168,2.032,79,G5,76,0.9404,0.067,primary_onset
5.184,5.792,0.608,64,E4,50,0.902,0.3545,primary_onset
5.184,5.792,0.608,70,A#4,51,0.8995,0.3511,primary_onset
5.216,5.952,0.736,60,C4,44,0.9071,0.1279,primary_onset
6.24,7.024,0.784,72,C5,70,0.9066,0.0999,primary_onset
6.272,7.328,1.056,60,C4,42,0.8885,0.0191,primary_onset
6.288,6.976,0.688,67,G4,54,0.8862,0.1524,primary_onset
6.288,6.976,0.688,70,A#4,58,0.9112,0.0972,primary_onset
7.584,8.88,1.296,79,G5,76,0.9471,0.3987,primary_onset
7.648,8.16,0.512,68,G#4,48,0.9097,0.0616,primary_onset
7.68,9.872,2.192,60,C4,35,0.9043,0.1195,primary_onset
7.68,8.944,1.264,67,G4,51,0.8387,0.2663,primary_onset
7.696,9.696,2.0,53,F3,37,0.869,0.0504,primary_onset
8.832,10.0,1.168,77,F5,58,0.8954,0.0933,primary_onset
8.88,9.792,0.912,65,F4,33,0.8634,0.077,primary_onset
9.776,9.856,0.08,73,C#5,42,0.8521,0.4729,primary_onset
9.808,9.984,0.176,61,C#4,31,0.891,0.3855,primary_onset
